,약국명_y,주소_y,전화번호,좌표정보(X),좌표정보(Y),월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
406,소라약국,"전라남도 여수시 소라면 덕양로 448-2,",061-683-8915,127.6329018,34.7923026,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
407,소망약국,"전라남도 나주시 세지면 동창로 141, 1층",061-336-3323,,,07:40~16:40,07:40~16:40,07:40~16:40,07:40~16:40,07:40~16:40,07:40~12:00,-,07:40~12:00
408,소망약국,전라남도 해남군 문내면 동영길 22,061-532-1356,126.3130221,34.5970886,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~13:00,-,09:00~12:00
409,소망약국,전라남도 순천시 대석길 31,061-725-6608,127.5255097,34.9460207,08:40~19:00,08:40~19:00,08:40~19:00,08:40~19:00,08:40~19:00,08:40~14:00,-,-
410,소망약국,"전라남도 목포시 용당로 53, (산정동)",061-242-7588,126.4018737,34.7924049,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-,08:00~21:00
411,소망약국,전라남도 여수시 망마로 47,061-691-8300,127.6395937,34.762314,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
412,소명약국,전라남도 장흥군 관산읍 관산로 89,061-867-2072,126.9382724,34.563157,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,-,07:30~19:30
413,소명약국,"전라남도 목포시 비파로124번길 1, 1층 101호 (상동)",061-283-2251,126.4228404,34.8090941,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
414,소명약국,전라남도 영광군 영광읍 옥당로 150-1 (영광읍),061-353-9898,126.5016104,35.2755654,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~12:00,-,-
415,소안하늘약국,전라남도 완도군 소안로 187-2 (소안면),061-554-0017,126.6504026,34.1725854,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,-
416,소화약국,전라남도 목포시 삼학로 30,061-243-7960,126.3887933,34.7902029,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,07:30~12:30,-,-
417,소화온누리약국,"전라남도 여수시 대치3길 24, (여서동)",061-655-0900,127.6994058,34.7460603,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,09:00~17:00,09:00~17:00,-
418,솔약국,전라남도 나주시 남평읍 남평1로 23,061-332-0116,126.8401642,35.0470301,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~19:00,-,09:00~14:00
419,솔약국,전라남도 장흥군 장흥읍 동교2길 13-21,061-864-8878,126.9064651,34.6788081,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
420,솔약국,"전라남도 화순군 화순읍 진각로 113-1, 1층 (화순읍)",061-373-1464,126.9856653,35.0614404,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30
421,솔약국,전라남도 무안군 삼향읍 남악2로74번길 39,061-284-1855,126.4592078,34.8130693,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-
422,솔약국,"전라남도 여수시 무선로 6-302, 이레타운(학동)",061-684-4977,127.656377,34.7613603,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-
423,송광약국,전라남도 목포시 서산로 16,061-244-3543,126.3790551,34.7822868,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-
424,송약국,전라남도 장흥군 회진면 가학회진로 1614,061-867-5035,126.9402861,34.4831452,05:00~21:00,05:00~21:00,05:00~21:00,05:00~21:00,05:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00
425,송이약국,"전라남도 여수시 동문로 40, (고소동)",061-666-0526,127.7395063,34.7408755,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~13:00,-,-
426,송지약국,전라남도 해남군 송지면 산정1길 109,061-532-2629,126.5206414,34.3703355,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
427,수미약국,전라남도 장성군 장성읍 영천로 176,061-393-8595,126.7831347,35.3007692,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
428,수북좋은약국,"전라남도 담양군 수북면 한수동로 564-1,",061-381-9908,126.9305397,35.302193,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-
429,수생당약국,"전라남도 여수시 율촌면 율촌로 82, (수생당약국)",061-686-3510,127.5794292,34.8822154,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,07:30~21:00,-,-
430,수성종로약국,"전라남도 곡성군 옥과면 리문5길 9-2,",061-363-2777,127.1359942,35.2753389,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
431,수약국,"전라남도 목포시 원형서로 15, 롯데마트목포점 (상동)",061-284-3138,,,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00
432,수약국,전라남도 장성군 황룡면 삼월길 1,061-393-0111,126.7740719,35.2909396,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
433,수영약국,전라남도 해남군 문내면 우수영로 10-51,061-532-1118,126.311896,34.596937,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-
434,수정약국,"전라남도 여수시 중앙로 36, (교동)",061-662-4877,127.7316122,34.7400938,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~17:00,-,-
435,수정약국,전라남도 목포시 해안로 283 (동명동),061-243-3894,126.3914166,34.7886983,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,08:00~18:00,-,-
436,순천새미래약국,"전라남도 순천시 팔마로 3, 1층 (장천동, 삼익빌딩)",061-742-0890,127.4887859,34.9469684,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,08:30~13:30
437,순천약국,전라남도 순천시 주암면 주암호길 3,061-754-1530,127.2353095,35.0764212,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
438,순천종로약국,전라남도 순천시 신월큰길 1-4 (조례동),061-727-2783,127.5207942,34.9604262,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~20:00,08:00~14:00,-,-
439,순천플러스큰약국,"전라남도 순천시 신월큰길 7, 나동 1층 (조례동)",061-727-7505,127.520347,34.960469,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~20:00,09:00~18:00,09:00~18:00
440,쉼터약국,"전라남도 여수시 망마로 21, 지구빌딩 1층 (학동)",061-682-3010,127.6655321,34.7604961,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~18:00,-,-
441,스타약국,"전라남도 순천시 해룡면 향매로 99, SM빌딩 1층 (해룡면)",061-905-0524,127.5502658,34.9335454,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-
442,승주동아약국,"전라남도 순천시 승주읍 승주로 706,",061-753-1665,127.3868292,35.0138062,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-
443,승주약국,"전라남도 순천시 순광로 207-34, (조례동)",061-722-9779,127.5411567,34.9635939,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,-,-,-
444,시민약국,"전라남도 무안군 무안읍 무안중앙로 17-1,",061-454-8088,126.4769922,34.9887665,07:30~21:00,07:30~18:00,07:30~21:00,07:30~18:00,07:30~21:00,07:30~17:00,-,07:30~17:00
445,시온약국,전라남도 목포시 영산로 335,061-273-6226,126.4020758,34.8061268,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
446,시장약국,전라남도 목포시 용당로 57 (산정동),061-242-7559,126.4017981,34.7926357,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~19:30,-,-
447,시장약국,전라남도 여수시 교동북3길 32,061-665-3131,,,06:00~14:30,06:00~14:30,06:00~14:30,06:00~14:30,06:00~14:30,06:00~15:00,-,06:00~15:00
448,시종약국,"전라남도 영암군 시종면 내동중앙로 21,",061-471-9290,126.6080131,34.8668168,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,08:00~13:00,-,-
449,신광약국,"전라남도 여수시 동문로 101-1, (공화동)",061-664-7877,127.7424984,34.7457566,09:00~16:45,09:00~16:45,09:00~16:45,09:00~16:45,09:00~16:45,09:00~12:00,-,-
450,신나는인덕한약국,전라남도 순천시 연향번영4길 31 (연향동),061-743-8810,127.5177315,34.9469278,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-
451,신대약국,전라남도 순천시 해룡면 향매로 97 (해룡면),061-727-0074,127.5500227,34.9335929,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-
452,신대타운온누리약국,"전라남도 순천시 해룡면 향매로 59, 신대타운 1층 102호",061-724-0024,127.5461465,34.9346455,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~18:00,09:00~13:00,-
453,신동아약국,전라남도 나주시 금성관길 2 (중앙동),061-333-2146,126.7170325,35.031798,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
454,신동아약국,"전라남도 여수시 무선로 49, (선원동)",061-655-0400,127.6558677,34.7660427,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
455,신동아약국,전라남도 보성군 보성읍 중앙로 50-1,061-852-0770,127.0846638,34.7679343,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~12:30,08:00~13:00,-,-
456,신북약국,"전라남도 영암군 신북면 황금동1길 6,",061-473-6561,126.6903394,34.8880991,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
457,신생약국,전라남도 장흥군 관산읍 관산로 81-1,061-867-2018,126.9380174,34.5626895,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~19:00,07:00~13:00,-,-
458,신성약국,전라남도 해남군 해남읍 홍교로 23,061-536-2270,126.5992137,34.5698806,08:10~19:00,08:10~19:00,08:10~19:00,08:10~19:00,08:10~19:00,08:10~15:00,-,-
459,신세계 온누리 약국,전라남도 목포시 백년대로 298 (상동),612819411,,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~16:00,-,-
460,신세계약국,"전라남도 화순군 화순읍 광덕로 177,",061-374-7770,126.9921815,35.0606496,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,09:00~21:00
461,신세계약국,"전라남도 해남군 해남읍 북부순환로 160, 신세계약국",061-536-7995,126.5950236,34.5758384,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~13:00,-,-
462,신세계약국,"전라남도 목포시 부흥로 97, (옥암동)",061-283-1126,126.4314596,34.8044151,09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~12:30,-,-
463,신안약국,"전라남도 신안군 자은면 구영2길 46,",061-271-5440,126.0454973,34.8845024,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~11:00,-,-
464,신약국,전라남도 담양군 담양읍 중앙로 40-1,061-381-2183,126.9833726,35.316818,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-
465,신약국,"전라남도 고흥군 도양읍 비봉로 153,",061-842-2370,127.1351131,34.5274282,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-
466,신약국,"전라남도 장성군 장성읍 영천로 202,",061-393-2815,126.7852069,35.3024935,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
467,신우그린약국,"전라남도 무안군 삼향읍 남악3로 50, 신우메디칼센터",061-283-0684,126.4606714,34.8099707,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:30,-,09:00~13:00
468,신풍애양약국,전라남도 여수시 율촌면 구암1길 53-1,061-683-7781,127.6229259,34.8436089,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
469,신한약국,"전라남도 순천시 중앙로 76, (장천동)",061-741-3535,,,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
470,신한약국,전라남도 강진군 강진읍 영랑로 35,061-432-8848,126.7678958,34.638509,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,-,-,-
471,신화약국,전라남도 장흥군 장흥읍 동교1길 22,061-863-7090,,,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:30,-,-
472,실로암약국,"전라남도 목포시 부흥로 80, (옥암동)",061-284-5558,126.4298651,34.8032935,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:00~13:00,-,-
473,심약국,전라남도 곡성군 석곡면 석곡로 53,061-362-3028,127.2534341,35.1318436,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-
474,십자당약국,전라남도 순천시 순광로 6 (조례동),061-725-7745,127.5430533,34.9631508,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
475,십자당약국,전라남도 광양시 광양읍 읍성길 151 (광양읍),061-762-0258,127.5873668,34.9753983,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:30~16:00,10:00~17:00,-
476,아랫장약국,"전라남도 순천시 팔마로 48, 1층 (인제동)",061-741-2896,127.493522,34.9462286,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,-
477,아이사랑약국,"전라남도 나주시 문화로 216, 101~102호 (빛가람동)",061-930-6383,126.7851801,35.0177883,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,09:00~19:00,09:00~19:00
478,아이팜약국,"전라남도 목포시 백년대로 420, (옥암동)",061-283-7144,126.4319785,34.8090868,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~17:00,09:00~17:00,09:00~17:00
479,아페약국,전라남도 여수시 학동1길 26-1 (학동),061-691-2125,127.6639891,34.7659372,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~22:00
480,안녕한약국,"전라남도 순천시 해룡면 향매로 128, 1층 102호 (해룡면)",061-905-9967,,,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-
481,안산약국,"전라남도 여수시 소호로 649, (안산동,부영2차상가)",061-681-5800,127.6556821,34.760777,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~14:00,-,-
482,안약국,전라남도 고흥군 도양읍 녹동중앙길 53,061-842-8111,127.135774,34.5260206,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-
483,알파약국,전라남도 목포시 청호로130번길 2 (산정동),061-274-0050,126.3769656,34.8034463,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,-,08:00~22:00
484,알파약국,전라남도 여수시 동문로 64 (관문동),061-662-4143,127.7409576,34.7425177,07:40~21:00,07:40~21:00,07:40~21:00,07:40~21:00,07:40~21:00,07:40~21:00,08:30~21:00,-
485,압해종로약국,"전라남도 신안군 압해읍 압해로 869,",061-271-1057,126.3138553,34.864789,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,08:00~13:00
486,애양종로약국,전라남도 여수시 율촌면 구암1길 54,061-682-7686,127.6232001,34.8431719,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
487,양약건민대형약국,전라남도 순천시 중앙로 83,061-745-2525,127.4836888,34.9530447,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00
488,에너젠햇살약국,전라남도 순천시 이수로 276 라동 3층 4호 (조례동),061-745-6677,127.5145375,34.9515846,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,-,-,-
489,여명약국,"전라남도 여수시 무선중앙로 66-1, (선원동)",061-685-3146,127.6512447,34.7718477,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
490,여서약국,"전라남도 여수시 여서1로 91, 1층 (여서동)",061-654-8228,127.707164,34.7542462,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
491,여성아동약국,전라남도 순천시 장선배기1길 6-10 (조례동),061-723-5275,127.5231173,34.9531857,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,09:00~13:00,-
492,여수바다약국,"전라남도 여수시 충무로 38-2, (교동)",061-662-9875,127.7315925,34.7396881,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
493,여수백세약국,전라남도 여수시 흥국로 13 (학동),061-692-2244,127.664184,34.7637275,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~17:30,-,-
494,여수백제약국,"전라남도 여수시 중앙로 17, (충무동)",061-662-5001,127.7294738,34.7405839,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,-
495,여수알파약국,전라남도 여수시 동문로 64(관문동),061-662-4143,127.7409576,34.7425177,07:40~21:00,07:40~21:00,07:40~21:00,07:40~21:00,07:40~21:00,07:40~21:00,08:30~21:00,-
496,여수종근당약국,"전라남도 여수시 충무로 56, (충무동)",061-663-2233,127.7314691,34.7414939,08:50~18:50,08:50~18:50,08:50~18:50,08:50~18:50,08:50~18:50,08:00~14:00,-,-
497,여수중앙약국,"전라남도 여수시 중앙로 61-2, (교동)",061-662-7575,127.734498,34.7402983,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~14:30,-,-
498,여수진남약국,"전라남도 여수시 좌수영로 47-1, (광무동)",061-642-8355,,,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,-
499,여신당한약국,"전라남도 화순군 화순읍 노대길 39-1, 1층 (화순읍)",061-373-8588,,,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~12:00,09:00~12:00
500,여천약국,전라남도 여수시 무선로 105 (선원동),061-684-6884,127.6545996,34.7702496,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~15:00,-,-
501,여천좌수영약국,"전라남도 여수시 흥국로 98, (신기동)",061-692-5500,127.6729179,34.7613522,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,10:00~21:00,10:00~21:00
502,역전약국,"전라남도 순천시 풍덕주택길 10, (조곡동)",061-743-2387,127.5019403,34.944728,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-,-
503,연산약국,전라남도 목포시 원산중앙로 89 (연산동),061-278-8583,126.3804256,34.8119571,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,10:00~19:00,-
504,연세약국,"전라남도 목포시 원산중앙로 59, (산정동)",061-272-7222,126.3780134,34.8101073,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-
505,연세약국,전라남도 여수시 선원4길 3 (선원동),061-685-0680,127.6523282,34.7612263,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,08:30~13:00,09:00~13:00,-,-
506,연합약국,전라남도 무안군 청계면 청계중앙길 8-8 (청계면),061-453-1224,126.4291051,34.9105819,07:40~16:50,07:40~16:50,07:40~16:50,07:40~12:30,07:40~16:50,07:40~12:00,-,-
507,연화약국,전라남도 진도군 진도읍 남문길 5 (진도읍),061-544-7541,126.2635548,34.4786652,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,-,-
508,열린약국,"전라남도 목포시 옥암로 147, 1층 (상동)",061-287-5004,126.4233809,34.8116003,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,09:00~17:00,09:00~17:00
509,열린약국,전라남도 여수시 동문로 63 (관문동),061-666-6926,,,08:30~17:30,08:30~19:30,08:30~17:30,08:30~19:30,08:30~17:30,08:30~13:00,-,-
510,열린약국,"전라남도 광양시 광장로 70, 상가2동 107호 (중동, 성호2차아파트)",061-791-7162,127.6906807,34.9332431,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-
511,열린온누리약국,전라남도 광양시 광장로 70 2동 1층 107호 (중동),061-791-7162,127.6906807,34.9332431,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
512,염산종로약국,전라남도 영광군 염산면 천년로 20-1,061-351-4857,126.3741659,35.2171474,07:30~17:00,07:30~17:00,07:30~17:00,07:30~17:00,07:30~17:00,07:30~13:00,-,-
513,영광시장약국,전라남도 영광군 영광읍 옥당로 160 1층,061-351-5820,126.501169,35.2763445,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,-
514,영광시장약국,전라남도 영광군 영광읍 옥당로 160 1층,061-351-5820,126.4502625,35.3555148,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,-
515,영광약국,전라남도 영광군 영광읍 신남로 183,061-352-1630,126.5018959,35.2761918,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~12:30,-,-
516,영광제일약국,"전라남도 영광군 영광읍 천년로12길 45,",061-352-3552,126.4996735,35.2763659,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,08:00~13:00,-,-
517,영생약국,"전라남도 장흥군 대덕읍 대대로 925,",061-867-4344,126.8877599,34.4989747,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
518,영생약국,"전라남도 담양군 담양읍 중앙로 25-1,",061-381-3169,126.983362,35.3154987,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,-,08:00~20:30
519,영생약국,전라남도 해남군 해남읍 남부순환로 2,061-535-0555,126.6066831,34.5706065,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~13:00,-,-
520,영신약국,"전라남도 완도군 완도읍 장보고대로 192, 1층",061-552-6416,126.7471995,34.3180374,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~17:00,-,-
521,영암종로약국,전라남도 영암군 영암읍 중앙로 42-2,061-471-7006,,,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,-
522,영암현대약국,"전라남도 영암군 영암읍 중앙로 11,",061-472-3264,126.6957115,34.7980889,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,08:30~13:00,-,-
523,영재약국,"전라남도 순천시 중앙로 54, (장천동)",061-745-7474,127.4844767,34.9506923,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,09:00~13:00,08:30~13:00,-,-
524,영춘당한약국,전라남도 보성군 득량면 역전길 66 (득량면),061-853-7267,127.1740233,34.7612059,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
525,예담약국,"전라남도 여수시 남산로 126, (서교동)",061-643-7888,127.7280127,34.7400777,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
526,예당맑은약국,"전라남도 보성군 득량면 예당길 180,",061-852-8999,127.2008966,34.7799399,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
527,예방원한약국,전라남도 목포시 연산백련로1번길 8-9 (연산동),061-272-7780,,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
528,예사랑약국,전라남도 목포시 용당로 40 (산정동),061-245-5883,126.4023013,34.7911687,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-
529,오가네약국,전라남도 순천시 해룡면 신대로 116,061-724-5505,127.5492316,34.933815,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00
530,오렌지 은 약국,전라남도 여수시 시청로 34 (학동),061-685-9400,127.6633397,34.764728,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~22:00,08:30~22:00,15:00~22:00,08:30~22:00
531,오룡약국,"전라남도 무안군 일로읍 오룡번영3로 40, 위드유타워 108호,109호",061-285-8345,,,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,11:00~19:00,-
532,오약국,"전라남도 목포시 청호로 193, 1층 (산정동)",061-279-2626,126.3716906,34.8074092,06:00~18:00,06:00~18:00,06:00~18:00,06:00~18:00,06:00~18:00,06:00~13:00,-,-
533,오약국,전라남도 나주시 금성길 35-1,061-334-2627,,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~18:00,-,-
534,오천온누리약국,"전라남도 순천시 오천7길 28, 1층 105호 (오천동)",061-746-4600,127.4942549,34.9351372,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
535,옥암종로약국,"전라남도 목포시 당가두로 24, (옥암동)",061-287-2878,,,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,09:00~21:00
536,옥천약국,전라남도 순천시 남문천변길 6 (장천동),061-743-1937,127.4842913,34.9528331,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
537,온누리감초당약국,전라남도 순천시 연향1로 55,061-721-8472,127.5213181,34.9461564,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~18:30,-,-
538,온누리건강한약국,전라남도 곡성군 옥과면 대학로 158,061-363-6011,127.1366397,35.276579,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~17:00,-,-
539,온누리대성약국,전라남도 고흥군 과역면 고흥로 2989,061-832-1234,127.3612729,34.6796764,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,-
