,NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,lat,lng
3683,3684,우리캐슬약국,02-802-2455,"서울특별시 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,37.4599560487863,126.896699156299
3684,3685,보화당약국,02-995-2929,서울특별시 도봉구 노해로69길 15,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,37.6529808344235,127.050643136271
3685,3686,백운약국,02-906-0280,서울특별시 도봉구 도봉로 468 (창동),08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~21:00,13:00~19:00,13:00~19:00,37.6473861862855,127.034372618396
3686,3687,행복한약국,02-484-8186,서울특별시 강동구 구천면로 222 (천호동),09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,-,-,37.5406273825658,127.129395103817
3687,3688,이룸약국,070-4240-0279,"서울특별시 강남구 논현로 838, 원방프라자 1층 일부호 (신사동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5233461107324,127.028652261959
3688,3689,부부약국,02-954-3349,서울특별시 도봉구 도봉로181길 46 (도봉동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~19:00,-,-,37.6845577156904,127.04352811802
3689,3690,정원약국,02-6959-2041,"서울특별시 성북구 돌곶이로 176, 1층 (장위동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~17:00,-,-,37.6166540773121,127.049835480023
3690,3691,늘푸른약국,02-576-5222,"서울특별시 강동구 풍성로 214, 102호 (성내동, 동양빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.5289882902078,127.135319132031
3691,3692,을지약국,02-3706-7204,"서울특별시 중구 을지로 170, 1층 107호 (을지로4가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,37.5661391831606,126.99732748195
3692,3693,하얀약국,02-949-3690,"서울특별시 노원구 동일로197길 21, 우성빌딩 1층 (공릉동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,37.6284077097228,127.070233632279
3693,3694,가까운신촌약국,02-362-1001,"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,
3694,3695,종로수약국,02-2275-5982,"서울특별시 종로구 종로 226, 송화빌딩 1층 (종로5가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:30,-,-,37.5707763336351,127.002837950697
3695,3696,압구정온누리약국,02-514-0777,"서울특별시 강남구 압구정로 164, 아세아빌딩 105호 (신사동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,11:00~17:00,-,37.5265333750851,127.02764922895
3696,3697,하이팜약국,02-568-1417,"서울특별시 서초구 사임당로 178, 이즈타워 103호 (서초동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,37.4922279155329,127.029056271279
3697,3698,효약국,02-775-3065,"서울특별시 강동구 천호대로 1099, 정산타워빌딩 1층 101호 (천호동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5357610390815,127.1341185836
3698,3699,봄약국,02-2678-6787,"서울특별시 영등포구 영등포로34길 12, 1층 (영등포동4가)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-,37.5192599372783,126.902029279404
3699,3700,참진약국,02-356-6588,"서울특별시 은평구 역말로 40, 무궁화빌딩 (역촌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.6056339391965,126.914673304323
3700,3701,대동약국,02-877-0453,"서울특별시 관악구 관악로 185, 1층 (봉천동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,-,-,37.4817919334432,126.952656233845
3701,3702,365열린약국,02-2633-2800,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,37.5267660967496,126.905231110596
3702,3703,라임약국,02-867-3776,"서울특별시 금천구 디지털로9길 56, 코오롱테크노밸리 109호 (가산동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-,-,37.4804025953884,126.88687232926
3703,3704,이화약국,02-911-4326,"서울특별시 성북구 길음로 20, 래미안길음3차아파트상가 1층 116호 (길음동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.6047542475415,127.023040195601
3704,3705,송파드림온누리약국,02-6476-1200,"서울특별시 송파구 가락로 61, 1층 102호 (석촌동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,37.4998977327134,127.103136561682
3705,3706,다원약국,02-859-6677,서울특별시 금천구 독산로93길 41 (독산동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-,37.4738856522298,126.900879351408
3706,3707,가람약국,02-351-3200,"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-,37.6341922549283,126.917695482942
3707,3708,에스메디약국,02-2666-9774,"서울특별시 강서구 방화동로 92, 에스메디컬 1층 103호 (방화동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:00,09:00~13:00,-,37.5686086193393,126.813015105953
3708,3709,노벨약국,02-544-5070,"서울특별시 강남구 선릉로131길 8, 13호 (논현동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,37.5179752643562,127.040276007202
3709,3710,행복한미래약국,02-515-3800,"서울특별시 강남구 언주로 707, 2층 일부호 (논현동)",07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~17:00,07:30~12:00,-,37.5162231391472,127.035010848828
3710,3711,건강약국,02-3492-3588,"서울특별시 도봉구 도당로 109, 방학동상가주택 1층 102호 (방학동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.666835278293,127.038602111789
3711,3712,망원그랜드약국,02-322-2862,"서울특별시 마포구 월드컵로 79, 유용빌딩 1층 (망원동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~17:00,-,-,37.5559403734127,126.909837708961
3712,3713,이수연약국,02-2661-0118,"서울특별시 강서구 마곡중앙로 59-21, 에이스타워2 1층 120호 (마곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,37.5588046568145,126.824241089722
3713,3714,라임약국,02-2231-6191,"서울특별시 중구 퇴계로 447, 218-1호 (황학동, 황학 아크로타워)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,,
3714,3715,민들레약국,02-814-8275,"서울특별시 동작구 보라매로 110, 영등포농협 1층 (대방동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~16:30,-,-,37.4990985683018,126.928466477124
3715,3716,서울샤인약국,02-853-3352,"서울특별시 관악구 남부순환로 1451, 1층 (신림동)",09:00~19:30,09:00~20:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,37.4816261239167,126.912021325461
3716,3717,별약국,02-2233-5704,서울특별시 중구 동호로 163 (신당동),09:30~19:00,09:30~20:00,09:30~19:00,09:30~19:00,09:30~20:00,09:30~16:00,-,-,37.552952089851,127.011720408113
3717,3718,녹색건강약국,02-433-0625,"서울특별시 중랑구 면목로55길 25, 완진빌딩 (면목동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,-,37.5841876268502,127.086830298751
3718,3719,곰돌이스타약국,02-595-8795,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~19:00,09:00~19:00,09:00~19:00,37.4933691648347,126.99044929507
3719,3720,신림4번출구약국,070-8866-7637,"서울특별시 관악구 남부순환로 1604, 1층 (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00,37.4839284146026,126.928939422977
3720,3721,우리사랑약국,02-352-4966,"서울특별시 은평구 은평로 108, 1층 103호 (응암동, 메트로럭스주상복합APT)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~19:00,10:00~19:00,-,37.5997123185996,126.919882555261
3721,3722,대영약국,02-827-0965,"서울특별시 동작구 만양로 26, 215호 (상도동, 건영아파트)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,37.5076305303451,126.949543551123
3722,3723,자이수약국,02-591-1370,"서울특별시 서초구 사평대로45길 10-25, 109-2호 (반포동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~15:30,-,09:00~13:00,,
3723,3724,민약국,02-400-3041,"서울특별시 송파구 송파대로 345, 1A동 3041호 (가락동, 헬리오시티)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-,,
3724,3725,한독약국,02-409-3559,"서울특별시 송파구 중대로 80, 문정프라자 (문정동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,-,-,37.4917620371568,127.117842816756
3725,3726,미래약국,02-2662-0377,"서울특별시 강서구 양천로14길 23, 효성빌딩 1층 101호 (방화동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.5720050917812,126.810245030164
3726,3727,강동더본약국,02-477-8280,"서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~19:30,-,-,37.5368399179472,127.139314330701
3727,3728,피크약국,02-3143-6191,"서울특별시 마포구 양화로 61, 두암빌딩 1층 (서교동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,10:00~18:00,10:00~18:00,37.5508291995608,126.915070906412
3728,3729,13층약국,070-7718-1316,"서울특별시 중구 서소문로 116, 유원빌딩 1304호 (서소문동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,-,-,-,37.5627316675026,126.974007434429
3729,3730,햇살온누리약국,02-434-5102,"서울특별시 중랑구 사가정로 384, 1층 101호 (면목동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~14:30,09:30~20:00,09:30~14:30,-,-,37.5805476991971,127.087203744311
3730,3731,설약국,02-825-8272,"서울특별시 동작구 노량진로 124, 1층 (노량진동)",08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,37.5132730094169,126.939619133262
3731,3732,석촌사랑약국,02-418-9513,"서울특별시 송파구 송파대로 437, 1층 (석촌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.505623046794,127.106325433287
3732,3733,봄날약국,02-974-1112,"서울특별시 노원구 마들로 31, 제주상가동 110호 (월계동, 그랑빌아파트)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~15:00,-,-,37.6187241122945,127.067083001547
3733,3734,대우사약국,02-753-2703,서울특별시 중구 세종대로 22 (남대문로5가),09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:00,-,-,37.5585302008191,126.974289349084
3734,3735,고은약국,02-888-7888,"서울특별시 관악구 신림로 339, 1층 (신림동)",09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,09:30~20:30,09:30~16:00,-,-,37.4845586933158,126.929278703389
3735,3736,송파샘약국,02-430-9888,"서울특별시 송파구 송파대로 345, 1A동 2040호 (가락동, 헬리오시티)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:30~17:00,-,-,,
3736,3737,혜민약국,02-6406-1177,"서울특별시 강북구 솔샘로67길 118, 1층 (미아동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.622313146374,127.026962650838
3737,3738,우리조은약국,02-6397-1820,"서울특별시 노원구 동일로 1689, 2층 206호 (상계동, 하이베라스)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,37.6791213093376,127.054950932229
3738,3739,숲약국,02-593-4958,"서울특별시 서초구 잠원로 148, 107호 (잠원동, 잠원연합상가)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~15:00,-,09:00~16:00,37.5162644800171,127.010063540612
3739,3740,조은약국,02-867-5979,"서울특별시 금천구 시흥대로 421, 1층 (독산동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.471161927624,126.897740718324
3740,3741,경희궁햇살약국,02-733-3342,"서울특별시 종로구 송월길 99, 203동 2218호 (홍파동, 경희궁자이 2단지)",09:00~20:30,09:00~19:00,09:00~19:00,09:00~20:30,09:00~19:00,09:00~14:00,-,09:00~14:00,37.5708610950823,126.962352257162
3741,3742,건강온누리약국,02-2642-0012,서울특별시 강서구 곰달래로 271 (화곡동),09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~19:30,09:30~16:00,-,-,37.5325117907797,126.863157766031
3742,3743,홍신약국,02-776-5117,"서울특별시 중구 남대문로9길 40, 센터플레이스(Center Place) 108-1호 (다동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,09:30~13:30,-,-,37.5671421016237,126.980368823536
3743,3744,서부약국,02-935-3424,"서울특별시 노원구 동일로 1551, 삼전빌딩 1층 101,102,107,108호 (상계동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~21:00,10:00~21:00,37.6668881732629,127.056844136528
3744,3745,강동엠약국,02-472-3311,"서울특별시 강동구 천호대로 1195, 지앤지타워 1층 101호 (길동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.5350394377715,127.143907731631
3745,3746,휴베이스비타민약국,02-2607-6007,서울특별시 강서구 가로공원로76길 51 (화곡동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,-,-,37.5348879429263,126.837978157379
3746,3747,조은우리약국,02-453-4848,"서울특별시 광진구 자양로 109, 104호 (자양동)",09:00~20:00,09:00~19:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~15:00,-,-,37.5374066951935,127.083099910723
3747,3748,바르다허약국,02-433-5953,"서울특별시 중랑구 망우로 305, 지하1층 (상봉동)",09:00~20:00,09:00~21:00,09:00~20:00,09:00~21:00,09:00~20:00,09:00~14:00,-,-,37.5969077925529,127.086146411099
3748,3749,고속터미널약국,02-595-2260,"서울특별시 서초구 신반포로 194, 서울고속버스터미널 본관동1층 쇼케이스1호 (반포동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,37.5064357442307,127.006834366246
3749,3750,영임약국,02-475-1016,"서울특별시 강동구 구천면로 233, 110호 (천호동)",08:00~20:00,08:00~19:00,08:00~20:00,08:00~19:00,08:00~20:00,08:00~21:00,09:00~17:00,-,37.5416468608322,127.1301351852
3750,3751,건강약국,02-424-3223,"서울특별시 송파구 백제고분로 162, 대양빌딩 1층 103호 (잠실동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,37.5049982850135,127.084715193777
3751,3752,푸른약국,02-2689-9856,"서울특별시 구로구 남부순환로 775, 상가106동 103호 (개봉동, 개봉푸르지오)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,37.5015678689641,126.847162335199
3752,3753,내자약국,02-6326-2007,"서울특별시 종로구 사직로 107, 1층 (내자동, 한빛빌딩)",08:00~18:40,08:00~18:40,08:00~18:40,08:00~18:40,08:00~18:40,08:00~13:40,-,-,37.5763321550439,126.970759498959
3753,3754,푸른솔약국,02-389-2999,서울특별시 은평구 통일로87길 12 (갈현동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.623499946914,126.918423859494
3754,3755,강북김약국,02-980-1717,"서울특별시 강북구 도봉로49길 8, 1층 (미아동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.62527554794,127.0259544037
3755,3756,목동센트럴약국,02-6448-1303,"서울특별시 양천구 신월로 170, 1층 (신월동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,37.518159822566,126.842475437099
3756,3757,그린약국,02-543-1275,"서울특별시 강남구 논현로 835, JK빌딩 1층 (신사동)",09:20~19:30,09:20~19:30,09:20~19:30,09:20~19:30,09:20~19:30,10:30~17:00,-,09:20~19:30,37.523095980234,127.027951133964
3757,3758,그랜드약국,02-887-8587,"서울특별시 관악구 인헌길 18, 1층 (봉천동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.474768322866,126.966737961022
3758,3759,은행약국,02-379-2922,"서울특별시 서대문구 통일로 455, 경인주유소 1층 (홍제동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5891287172466,126.943337675172
3759,3760,녹십자약국,02-805-6743,서울특별시 금천구 시흥대로 96 (시흥동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,37.4426410284686,126.90399008707
3760,3761,시온약국,02-790-7897,서울특별시 용산구 독서당로 67 (한남동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,14:00~22:00,-,-,37.5338383170395,127.008147487881
3761,3762,시티온누리약국,02-715-7800,"서울특별시 용산구 한강대로 283 (갈월동, 시티파크타워)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.5434381287458,126.97195776476
3762,3763,신세계약국,02-797-8403,서울특별시 용산구 장문로 94 (보광동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,37.5259933072806,126.999967192634
3763,3764,온누리백합약국,02-774-2002,"서울특별시 용산구 후암로 33-3, 1층 (후암동)",08:50~18:40,08:50~18:40,08:50~18:40,08:50~18:40,08:50~18:40,08:50~13:30,-,-,37.5488226910335,126.977484116289
3764,3765,정문약국,02-796-2580,서울특별시 용산구 대사관로 60-1 (한남동),08:40~18:40,08:40~18:40,08:40~18:40,08:40~18:40,08:40~18:40,08:40~13:00,08:40~18:40,-,37.5332433879637,127.004834803008
3765,3766,홍주약국,02-793-5572,"서울특별시 용산구 이촌로 206, 3층 (이촌동, 국민은행PB센터)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-,37.5208962732342,126.96985513634
3766,3767,화인약국,02-449-0895,"서울특별시 송파구 중대로 80 (문정동, 롯데마트 3층)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,37.4917620371568,127.117842816756
3767,3768,제일약국,02-822-0179,서울특별시 동작구 여의대방로36길 5 (대방동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:30~19:00,-,-,37.5041954236647,126.922539459499
3768,3769,태영프라자약국,02-2068-5733,서울특별시 구로구 경인로59길 8 (신도림동),09:00~20:00,09:00~20:00,09:00~21:00,09:00~21:00,09:00~20:00,09:00~17:00,-,-,37.5063918465946,126.883427027522
3769,3770,흥부약국,02-862-6804,서울특별시 구로구 새말로 83 (구로동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,14:00~20:00,-,37.505223452864,126.889071388744
3770,3771,메디슨약국,02-443-7789,"서울특별시 송파구 송이로 111 (가락동, 청석빌딩 1층)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.4967106752912,127.122149842507
3771,3772,우리정다운약국,02-384-3399,서울특별시 은평구 갈현로41길 10-1 (갈현동),08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~16:00,-,-,37.6246305120298,126.916247117462
3772,3773,사랑약국,02-533-5675,"서울특별시 서초구 신반포로 100, 래미안 퍼스티지 신반포역상가 2층 210호 (반포동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,37.5030849342672,126.995693596225
3773,3774,천공약국,02-412-3418,"서울특별시 송파구 송파대로36길 30, 1층 101호 (송파동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,37.5011630268802,127.115027818875
3774,3775,양지약국,02-882-2497,"서울특별시 관악구 관악로 186, 1층 (봉천동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,37.481562282745,126.953377373952
3775,3776,새봄약국,02-2135-1303,"서울특별시 용산구 백범로 287, 1층 (효창동)",08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~15:00,-,-,37.5395980031473,126.961220193937
3776,3777,아이봄약국,02-588-6358,"서울특별시 관악구 남부순환로 2056, 태림빌딩 지하1층 (남현동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~21:00,08:30~19:00,09:00~14:00,-,-,37.4763222522103,126.977192725834
3777,3778,용산대학약국,02-795-4549,"서울특별시 용산구 대사관로 58, 용산대학약국 1층 (한남동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:00~18:00,-,-,37.5332727696489,127.004608412079
3778,3779,유명온누리약국,02-702-7840,"서울특별시 마포구 만리재옛길 101-1, 삼성래미안공덕2차 상가2동 102호 (아현동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.5514483147572,126.96152899943
3779,3780,정문약국,070-4402-2579,"서울특별시 중랑구 신내로16길 17, 101호 (신내동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,37.6141751592324,127.097180289147
3780,3781,오렌지약국,02-6031-0024,"서울특별시 중구 을지로 100, 지하1층 (을지로2가, 파인에비뉴)",08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~20:30,08:00~13:30,-,-,37.5656490167105,126.988142568678
3781,3782,신태양약국,02-794-0744,"서울특별시 용산구 우사단로2길 23, 신태양약국 (보광동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,12:30~20:00,-,37.5305189336406,126.998079861186
3782,3783,광희약국,02-2273-5555,"서울특별시 중구 퇴계로 322, 정미식품 (광희동2가)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,17:00~21:30,-,37.5640130769694,127.007464524322
3783,3784,다산온누리약국,02-2233-5912,"서울특별시 중구 다산로 133-1, 1층 (신당동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~20:00,10:00~20:00,37.5557895889694,127.010919015589
3784,3785,세영약국,02-464-3577,서울특별시 광진구 뚝섬로27길 65 (자양동),08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~17:00,-,-,37.5387199334126,127.066717078229
3785,3786,구로참조은약국,02-6956-2627,"서울특별시 구로구 구로동로 78, 시몬빌딩 1층 (구로동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,09:00~13:00,-,37.4858241548644,126.885855021118
3786,3787,포도약국,070-8860-3691,"서울특별시 마포구 마포대로 44, 진도빌딩 1층 (도화동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,37.539973013511,126.947098319374
3787,3788,1층천호약국,02-478-1178,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~15:30,-,-,37.5380513979559,127.123788971242
3788,3789,바름약국,02-827-0308,"서울특별시 동작구 흑석로 101, 1층 (흑석동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-,-,37.5077478063551,126.960583855519
3789,3790,새우리온누리약국,02-3417-7800,"서울특별시 서대문구 통일로 449, 1층 (홍제동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,37.5886079978357,126.944017750795
3790,3791,비타약국,02-2135-6705,"서울특별시 강남구 논현로 561, 1층 (역삼동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,37.5061371187148,127.034077257047
3791,3792,굿데이약국,02-425-0730,"서울특별시 송파구 송파대로 570, 2층 (신천동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,09:00~15:00,-,-,37.5157873297768,127.099112358834
3792,3793,사랑플러스약국,02-6402-1100,"서울특별시 성북구 한천로 713, 래미안장위퍼스트하이 516동 105호 (장위동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,37.6212857858679,127.051719017992
3793,3794,화양백화점약국,02-462-0095,"서울특별시 광진구 광나루로 351, 1층 (군자동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-,37.5484223911201,127.068987734507
3794,3795,동아온누리약국,02-804-0582,서울특별시 금천구 시흥대로 371 (독산동),09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~19:00,-,-,37.4666937123822,126.897308890065
3795,3796,새봄약국,02-466-8510,"서울특별시 광진구 뚝섬로 503, 1층 (자양동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,09:00~18:00,-,37.5360763405665,127.066018887044
3796,3797,강남리더스약국,02-3414-8001,"서울특별시 강남구 헌릉로 569, 1층 105호 (세곡동)",09:00~19:30,09:00~20:00,09:00~19:30,09:00~19:30,09:00~20:00,09:00~16:00,-,-,37.4657580150675,127.101226214382
3797,3798,강동솔약국,02-474-2696,"서울특별시 강동구 양재대로 1473, 희헌타워 1층 (길동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,37.5375121901099,127.139588829365
